Course Name,Course Code,Prerequisite
Fluid Mechainics,MTH375/MTH575,MTH204
Advanced Linear Algebra,MTH510,MTH100
Algebraic Number Theory,MTH512,None
Abstract Algebra II,MTH513,"MTH100 , MTH212"
Coding Theory,MTH514,"MTH211 , MTH212"
Analytic Number Theory,MTH516,MTH341
Combinatorial Optimization,MTH517,MTH374/MTH574
Social Network Analysis,CSE568,"CSE222 , CSE101 , MTH201"
Topics in Number Theory,MTH518,MTH211
Concurrent and Learned,CSE518,"CSE101 , CSE102 , CSE201"
Measure and Probability,MTH535,MTH240  or MTH203
Applied Optimization,ECE666 / CSE517,None
Introduction to Functional,MTH542,MTH100
Prototyping Interactive,DES206,None
Calculus in R^N,MTH544,"MTH100 , MTH203  or MTH240"
Finite and Spectral Element,MTH545,"MTH100 , MTH203  or MTH240"
Ethics in AI,SSH325/SSH525,None
Programmable Networking,CSE567,"CSE102 , CSE231 , CSE232"
Introduction to PDE,MTH550,MTH204
Estimation Theory for,ECE5et,ECE501
Computational Methods in,BIO5XX,None
Parallel Runtimes for,CSE513,"CSE231 , CSE201"
Quantum Mechanics,ECE525,MTH100
Point Set Toplogy,MTH562,Continuousfunctions
3D Animation ﬁlmmaking,DES305,None
Point Set Toplogy,MTH562A,None
"Knowledge Production,",SSH700,None
Introduction to Riemannian,MTH564A,"MTH100 , MTH203"
Enhancement Technologies,SOC513,SOC101
Contract Theory,ECO502,None
Numerical Solutions,MTH570,"MTH100 , MTH203 , MTH240"
Tomographic Imaging,ECE565,MTH100
Integral Transforms and,MTH571,MTH204
Cloud Computing,CSE569,CSE232
Categorical Data Analysis,MTH576,MTH201
Quantum Mechanics,ECE525,MTH100
Convex Optimization,MTH577,MTH100
Introduction to AI in,ECE667A,"MTH201 , MTH100 , Vect"
Computational,BIO549,None
Numerical Partial,MTH598,"MTH100 , MTH203 , MTH240"
Variational Calculus and,MTH599,MTH203
Ergonomics/Human factors,DES524,None
Introduction to Psychology,PSY201,SSH101
Positive Psychology,PSY202,None
Enhancement Technologies,SOC513,SOC101
Non-Classical Logics,MTH504A,None
Cognitive Psychology,PSY301,PSY201
Lattices in Computer,CSE526,MTH100/MTH201/ECE501/CSE222
Social Psychology,PSY302,None
Human Microbiome Data,BIO548,None
Attention and Perception,PSY305/PSY505,None
Usable Security and,CSE347/CSE547/DES525/DES306,None
Learning and Memory,PSY306/506,None
Interactive Systems,CSE573,None
Neuroscience of Decision,PSY307/507,None
Information Theory,ECE634,ECE501/MTH201
Cognition of Motor,PSY308/PSY508,None
Cognition and Information,DES523,None
Introduction to Sociology,SOC101,SSH101
Foundations of Marketing,ENTxxx,None
Contemporary India:,SOC202,None
Social Entrepreneurship,ENT202/ ENT404,None
Sociology of New Media,SOC204,None
Anthropology and Social,SOC205,None
Japanese Language,SSH326,None
Distributed and Federated,CSE665A,"ECE363/ECE563/CSE343/CSE342/CSE542/ECE356/ECE556 , MTH100"
Business Anthropology,SOC206,None
Information Technology,SOC207,None
Comprehensive Gender,SSH225A,None
Algorithms under,CSE586,CSE222  or equivalent
Organizations An,SOC208,None
Advances in Deep Learning,ECE677/CSE677,DeepLearningORAML
Consumer Culture and,SOC209,None
Quantum Communication,ECE530,ProbabilityandStochasticProcess
Sociological Theory,SOC210,None
Digital Processor Design,ECE523A,ECE111
"Science, Technology and",SOC211,None
Advanced Digital,ECE347/ECE547,ECE240
Key Concepts in Economic,SOC212,None
Motion Design and,DES526/DES307,None
Introduction to Digital,SOC213,None
User Experience Design of,DES527,DES102;CSE101 (;CSE101)
Causal Inference,ECO323/ECO523,EconometricsI  or StatisticalInference (/viewDescription/ﬁlename?
Urban Sociology,SOC302,None
Digital Social Research,SOC307,None
Reading Hegel's,SSH526/SSH726,None
Foundations of,ENT201/ENT405,None
Gender and Media,SOC308/SOC514,None
Advance Ethnographic,SOC311/SOC501,SSH201
Concepts and Methods in,SSH327A/SSH527A,Introductionlevelcourseinanyofthemaj  or
The Business of Artiﬁcial,DES530,None
Sociology of India: Themes,SOC313/SOC503,None
Design for Artiﬁcial,DES529,None
Technology and the Future,SOC314/SOC512,None
Nonlinear Dynamics and,MTH359/559,MTH100
Intersectionality Studies,SOC315/SOC511,None
Mechanics of Bodies,MTH376,MTH100
Advanced Sociological,SOC502,None
Topics in Mathematical,MTH506,MTH300  or equivalent/MTH212  or
Introduction to Algebraic,MTH561,None
Netwoks and Systems,CSE553,C/C++
